央卫综合ᵛ𝟰,#genre#
CCTV-4-HEVC,http://192.168.0.156:35455/itv/1000000005000265004.m3u8?cdn=ystenlive
cctv5-高码,http://192.168.0.156:35455/ysptp/cctv5.m3u8
CCTV-5,http://192.168.0.156:35455/itv/1000000005000025222.m3u8?cdn=ystenlive
CCTV-5-HEVC,http://192.168.0.156:35455/itv/1000000005000265005.m3u8?cdn=ystenlive
CCTV-5+,http://192.168.0.156:35455/itv/6000000001000015875.m3u8?cdn=wasusyt
CCTV-5+-HEVC,http://192.168.0.156:35455/itv/1000000005000265016.m3u8?cdn=ystenlive
CCTV-6,http://192.168.0.156:35455/itv/1000000001000001737.m3u8?cdn=ystenlive
CCTV-6-50-FPS,http://192.168.0.156:35455/itv/6000000001000004574.m3u8?cdn=wasusyt
cctv8-高码,http://192.168.0.156:35455/ysptp/cctv8.m3u8
CCTV-8,http://192.168.0.156:35455/itv/6000000001000001070.m3u8?cdn=wasusyt
CCTV-8-HEVC,http://192.168.0.156:35455/itv/1000000005000265008.m3u8?cdn=ystenlive
cctv9-高码,http://192.168.0.156:35455/ysptp/cctv9.m3u8
CCTV-9,http://192.168.0.156:35455/itv/1000000001000014583.m3u8?cdn=ystenlive
CCTV-9-50-FPS,http://192.168.0.156:35455/itv/6000000001000032162.m3u8?cdn=wasusyt
CCTV-9-HEVC,http://192.168.0.156:35455/itv/1000000005000265009.m3u8?cdn=ystenlive
cctv10-高码,http://192.168.0.156:35455/ysptp/cctv10.m3u8
cctv12-高码,http://192.168.0.156:35455/ysptp/cctv12.m3u8
CCTV-12,http://192.168.0.156:35455/itv/1000000001000032494.m3u8?cdn=ystenlive
CCTV-12-50-FPS,http://192.168.0.156:35455/itv/6000000001000022586.m3u8?cdn=wasusyt
CCTV-12-HEVC,http://192.168.0.156:35455/itv/1000000005000265012.m3u8?cdn=ystenlive
CCTV-13-50-FPS,http://192.168.0.156:35455/itv/5000000011000031108.m3u8?cdn=bestzb
cctv14-高码,http://192.168.0.156:35455/ysptp/cctv14.m3u8
CCTV-14,http://192.168.0.156:35455/itv/1000000001000008170.m3u8?cdn=ystenlive
CCTV-16,http://192.168.0.156:35455/itv/1000000006000233002.m3u8?cdn=ystenlive
CCTV-16-4K-HEVC,http://192.168.0.156:35455/itv/5000000008000023254.m3u8?cdn=bestzb
cctv164k_10m,http://192.168.0.156:35455/ysptp/cctv4k16_10m.m3u8
cctv164k,http://192.168.0.156:35455/ysptp/cctv4k16.m3u8
cctv17-高码,http://192.168.0.156:35455/ysptp/cctv17.m3u8
CCTV-17,http://192.168.0.156:35455/itv/1000000006000268004.m3u8?cdn=ystenlive
CGTN,http://192.168.0.156:35455/itv/7745129417417101820.m3u8?cdn=hnbblive
CGTN-记录,http://192.168.0.156:35455/itv/7114647837765104058.m3u8?cdn=hnbblive
cgtnar-高码,http://192.168.0.156:35455/ysptp/cgtnar.m3u8
cgtndoc-高码,http://192.168.0.156:35455/ysptp/cgtndoc.m3u8
cgtnsp-高码,http://192.168.0.156:35455/ysptp/cgtnsp.m3u8
cctv4k,http://192.168.0.156:35455/ysptp/cctv4k.m3u8
北京纪实科教,http://192.168.0.156:35455/itv/1000000001000001910.m3u8?cdn=ystenlive
北京纪实科教-HEVC,http://192.168.0.156:35455/itv/1000000005000265020.m3u8?cdn=ystenlive
北京卡酷少儿,http://192.168.0.156:35455/itv/7851974109718180595.m3u8?cdn=bestzb
海南卫视,http://192.168.0.156:35455/itv/5000000004000006211.m3u8?cdn=bestzb
河南卫视,http://192.168.0.156:35455/itv/5000000011000031119.m3u8?cdn=bestzb
湖南茶频道,http://192.168.0.156:35455/itv/5000000011000031209.m3u8?cdn=bestzb
上海东方卫视-50-FPS,http://192.168.0.156:35455/itv/5000000004000014098.m3u8?cdn=bestzb
深圳卫视-50-FPS,http://192.168.0.156:35455/itv/6000000001000002116.m3u8?cdn=wasusyt
深圳卫视-HEVC,http://192.168.0.156:35455/itv/1000000005000265028.m3u8?cdn=ystenlive
咪咕4K-1,http://192.168.0.156:35455/itv/3000000010000005180.m3u8?cdn=FifastbLive
Love Nature 4K,https://d18dyiwu97wm6q.cloudfront.net/playlist2160p.m3u8
Loupe 4K,https://d2dw21aq0j0l5c.cloudfront.net/playlist_3840x2160.m3u8
数字频道ᵛ𝟰,#genre#
NewTV-精品萌宠,http://192.168.0.156:35455/itv/1000000006000032328.m3u8?cdn=ystenlive
NewTV-超级电视剧,http://192.168.0.156:35455/itv/1000000006000268003.m3u8?cdn=ystenlive
NewTV-超级电影,http://192.168.0.156:35455/itv/1000000003000012426.m3u8?cdn=ystenlive
NewTV-军旅剧场,http://192.168.0.156:35455/itv/2000000003000000014.m3u8?cdn=hnbblive
NewTV-魅力潇湘,http://192.168.0.156:35455/itv/1000000001000006197.m3u8?cdn=ystenlive
NewTV-明星大片,http://192.168.0.156:35455/itv/2000000003000000016.m3u8?cdn=hnbblive
SiTV-法治天地,http://192.168.0.156:35455/itv/9001547084732463424.m3u8?cdn=bestzb
SiTV-欢笑剧场,http://192.168.0.156:35455/itv/5000000002000009455.m3u8?cdn=bestzb
iHOT-爱怀旧,http://192.168.0.156:35455/itv/6000000006000260630.m3u8?cdn=wasusyt
iHOT-爱经典,http://192.168.0.156:35455/itv/6000000006000060630.m3u8?cdn=wasusyt
iHOT-爱悬疑,http://192.168.0.156:35455/itv/6000000006000050630.m3u8?cdn=wasusyt
iHOT-爱幼教,http://192.168.0.156:35455/itv/6000000006000180630.m3u8?cdn=wasusyt
iHOT-爱院线,http://192.168.0.156:35455/itv/6000000006000030630.m3u8?cdn=wasusyt
咪咕视频_8M1080_咪视通-12,http://192.168.0.156:35455/itv/3000000020000011518.m3u8?cdn=FifastbLive
咪咕视频_8M1080_咪视通-13,http://192.168.0.156:35455/itv/3000000020000011519.m3u8?cdn=FifastbLive
咪咕视频_8M1080_咪视通-26,http://192.168.0.156:35455/itv/3000000010000002809.m3u8?cdn=FifastbLive
咪咕视频_8M1080_咪视通-27,http://192.168.0.156:35455/itv/3000000010000003915.m3u8?cdn=FifastbLive
